เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เขาไม้แก้ว,ต.เขาไม้แก้ว อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
เขาถ้ำ,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
เขาปูน,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
เขานันทา,ต.โพธิ์งาม อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
เขาเพิ่ม,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
เขาไม้ไผ่,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
เขาส่องกล้อง,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
เขาหัวนา,ต.เขาเพิ่ม อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
เขาดิน(แสงสว่างวิทยา),ต.ศรีกะอาง อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
เตยใหญ่,ต.บางสมบูรณ์ อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
เนินสะอาด,ต.สระแก้ว อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เทศมงคล,ต.บ้านแก้ง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เนินดินแดง,ต.บ้านแก้ง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เหล่ากกโก,ต.บ้านแก้ง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขามะกา,ต.ศาลาลำดวน อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เนินสวนอ้อย,ต.ศาลาลำดวน อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาข่า,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เนินผาสุก,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาดิน,ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาเลื่อม,ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เขาตาง้อก,ต.คลองไก่เถื่อน อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
เจริญสุข,ต.ทัพราช อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
เขาตะกรุบพัฒนา,ต.ทุ่งมหาเจริญ อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
