เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เขามุสิ,ต.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี 71220,เขตพื้นที่การศึกษากาญจนบุรี เขต 4
เขาหินตั้ง,ต.สมเด็จเจริญ อ.หนองปรือ จ.กาญจนบุรี 71220,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
เขาแหลม,ต.สมเด็จเจริญ อ.หนองปรือ จ.กาญจนบุรี 71220,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
เขากรวด,ต.ห้วยกระเจา อ.ห้วยกระเจา จ.กาญจนบุรี 71170,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
เขาศาลา,ต.ห้วยกระเจา อ.ห้วยกระเจา จ.กาญจนบุรี 71170,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
เขาดิน,ต.นางบวช อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
เขาชานหมาก,ต.จรเข้สามพัน อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
เขากำแพง,ต.ดอนคา อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
เพลินวัฒนา,ต.กระทุ่มล้ม อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
เจริญสุข,ต.อำแพง อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
เขตเมือง,ต.ลาดใหญ่ อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
เขาย้อย,ต.เขาย้อย อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
เนินรัก,ต.หนองชุมพลเหนือ อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
เนินทราย,ต.นายาง อ.ชะอำ จ.เพชรบุรี 76120,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
เขากระปุก,ต.เขากระปุก อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
เขาอ่างแก้ว,ต.เขากระปุก อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
เหมืองไทร,ต.ท่าแร้งออก อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
เขากลิ้ง,ต.แก่งกระจาน อ.แก่งกระจาน จ.เพชรบุรี 76170,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
เขาแดง,ต.เขาแดง อ.กุยบุรี จ.ประจวบคีรีขันธ์ 77150,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เหมืองแร่,ต.นาหูกวาง อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
เนินดินแดง,ต.ห้วยยาง อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
เขามัน,ต.ชัยเกษม อ.บางสะพาน จ.ประจวบคีรีขันธ์ 77190,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
เขาน้อย,ต.เขาน้อย อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77120,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เนินพยอม,ต.บึงนคร อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เนินพยอมสาขาบึงนคร,ต.บึงนคร อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เกาะนาน้อย,ต.ศิลาลอย อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เขาโป่ง,ต.ศิลาลอย อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เนินกรวด,ต.ศาลาลัย อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เกาะไผ่,ต.ไร่ใหม่ อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77120,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
เกาะโพธิ์แจ้ง,ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
เนิน,ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
เกาะวิทยา,ต.อินคีรี อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 12
เด็กศึกษา,ต.กำโลน อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
เศลาใต้,ต.ละอาย อ.ฉวาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เหนือคลอง,ต.พิปูน อ.พิปูน จ.นครศรีธรรมราช 80270,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เกาะทวด,ต.การะเกด อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เนินธัมมัง,ต.แม่เจ้าอยู่หัว อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เราะ(อุทัยประชาสรรค์),ต.สระแก้ว อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เกาะปราง,ต.นาโพธิ์ อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เกาะยวน,ต.นาโพธิ์ อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เขาตาว,ต.เขาขาว อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เกาะนางโดย,ต.คลองน้อย อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เขาน้อย,ต.คลองน้อย อ.ปากพนัง จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เกาะน้อย,ต.เกาะทวด อ.ปากพนัง จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เกาะทัง,ต.ท่าพยา อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เกยเชน,ต.ควนชุม อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เขาทราย,ต.เปลี่ยน อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขายวนเฒ่า,ต.เทพราช อ.สิชล จ.นครศรีธรรมราช 80340,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เผียน,ต.เทพราช อ.สิชล จ.นครศรีธรรมราช 80340,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขาใหญ่,ต.เขาน้อย อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขาตาสัก,ต.ทุ่งใส อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขาฝ้าย,ต.ทุ่งใส อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เปร็ต,ต.ขนอม อ.ขนอม จ.นครศรีธรรมราช 80210,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขาวังทอง,ต.ควนทอง อ.ขนอม จ.นครศรีธรรมราช 80210,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เขาหัวช้าง,ต.ควนทอง อ.ขนอม จ.นครศรีธรรมราช 80210,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
เกาะสุด,ต.เขาพังไกร อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เขาวง,ต.บ้านนิคม อ.บางขัน จ.นครศรีธรรมราช 80360,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เกาะขวัญ,ต.ดุสิต อ.ถ้ำพรรณรา จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
เหนือคลอง,ต.ทุ่งโพธิ์ อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
เขาตั้ง,ต.กระบี่น้อย อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาคราม (ศรีจันทร์อุทิศ),ต.เขาคราม อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาทอง,ต.เขาทอง อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาเทียมป่า,ต.เขาทอง อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะพีพี,ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะกลาง,ต.คลองประสงค์ อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาพนม,ต.เขาพนม อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
เทพพนม,ต.เขาพนม อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาดิน,ต.หน้าเขา อ.เขาพนม จ.กระบี่ 81140,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะปอ,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
เจ๊ะหลี,ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาฝาก,ต.คลองยาง อ.เกาะลันตา จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เหนือ,ต.คลองท่อมใต้ อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาสามหน่วย,ต.พรุดินนา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เพหลา,ต.เพหลา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาล่อม,ต.เขาใหญ่ อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาแก้ว,ต.คลองยา อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
เขางาม,ต.บ้านกลาง อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาดินประชาพัฒน์,ต.ดินอุดม อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เสม็ดจวน,ต.ดินอุดม อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะไทร,ต.ทุ่งไทรทอง อ.ลำทับ จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะจำ,ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะปู,ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะศรีบอยา,ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะฮั่ง,ต.เกาะศรีบอยา อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
เกาะไทร,ต.ปกาสัย อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
เขาเฒ่า,ต.บางเตย อ.เมืองพังงา จ.พังงา 82000,เขตพื้นที่การศึกษาพังงา เขต 1
เขาเปาะ,ต.กระโสม อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
เกาะกลาง,ต.กะไหล อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
เขาปิหลาย,ต.โคกกลอย อ.ตะกั่วทุ่ง จ.พังงา 82140,เขตพื้นที่การศึกษาพังงา เขต 1
เจ้าขรัว,ต.คลองเคียน อ.ตะกั่วทุ่ง จ.พังงา 82130,เขตพื้นที่การศึกษาพังงา เขต 1
เตรียม,ต.คุระ อ.คุระบุรี จ.พังงา 82150,เขตพื้นที่การศึกษาพังงา เขต 1
เขาน้อย,ต.ท้ายเหมือง อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
เกาะนก,ต.ทุ่งมะพร้าว อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
เก็ตโฮ่,ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120,เขตพื้นที่การศึกษาภูเก็ต เขต 1
เชิงทะเล (ตันติวิท),ต.เชิงทะเล อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
เกาะนาคา,ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83000,เขตพื้นที่การศึกษาภูเก็ต เขต 1
เกาะนกเภา,ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เกาะแรต,ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เขาแค,ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เขาพระอินทร์,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เกาะพลวย,ต.อ่างทอง อ.เกาะสมุย จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เกาะเต่า,ต.เกาะเต่า อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
เหนือน้ำ,ต.พุมเรียง อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เกาะมุกด์,ต.ประสงค์ อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เชี่ยวหมวง,ต.บ้านยาง อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เชี่ยวขวาน,ต.พรุไทย อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เขาเทพพิทักษ์,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เขานาใน,ต.ต้นยวน อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เบญจา,ต.พลูเถื่อน อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เคี่ยมเพาะ,ต.ปากฉลุย อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เขาน้อย,ต.ลำพูน อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เหมืองทวด,ต.เพิ่มพูนทรัพย์ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เกาะแก้ว,ต.เขาตอก อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เขาตอก,ต.เขาตอก อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เขารักษ์,ต.บ้านเสด็จ อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เขาสามยอด,ต.บ้านเสด็จ อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เสด็จพิทยาคม,ต.บ้านเสด็จ อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 11
เขานิพันธ์,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เขาปูน,ต.เขานิพันธ์ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เมรัย,ต.สินปุน อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เกาะน้อย,ต.บางสวรรค์ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
เชี่ยวมะปราง,ต.ตะกุกใต้ อ.วิภาวดี จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เชี่ยวเฟือง,ต.ตะกุกเหนือ อ.วิภาวดี จ.สุราษฎร์ธานี,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
เกาะสินไห,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
เกาะเหลา,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
เขานางหงส์,ต.ปากน้ำ อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
เกาะช้าง,ต.เกาะพยาม อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
เกาะพยาม,ต.เกาะพยาม อ.เมืองระนอง จ.ระนอง 85000,เขตพื้นที่การศึกษาระนอง เขต 1
เชี่ยวเหลียง,ต.เชี่ยวเหลียง อ.กะเปอร์ จ.ระนอง 85120,เขตพื้นที่การศึกษาระนอง เขต 1
เขาน้อย,ต.หาดพันไกร อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาวง,ต.บ้านนา อ.เมืองชุมพร จ.ชุมพร 86190,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาบ่อ,ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาชันโต๊ะ,ต.วิสัยเหนือ อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
เขายาวราษฎร์พัฒนา,ต.วิสัยเหนือ อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
เนินทอง,ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
เหมืองทอง,ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาพาง,ต.ท่าข้าม อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาเลี้ยว,ต.เขาไชยราช อ.ปะทิว จ.ชุมพร 86210,เขตพื้นที่การศึกษาชุมพร เขต 1
เขาแงน,ต.วังตะกอ อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาตากุน,ต.สวนแตง อ.ละแม จ.ชุมพร 86170,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาตะเภาทอง,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร 86180,เขตพื้นที่การศึกษาชุมพร เขต 2
เล็บกะรอก,ต.ด่านสวี อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาล้าน,ต.ครน อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาน้อยสามัคคี,ต.นาสัก อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาทะลุ,ต.เขาทะลุ อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาค่าย,ต.เขาค่าย อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
เขาวงกรด,ต.ช่องไม้แก้ว อ.ทุ่งตะโก จ.ชุมพร 86220,เขตพื้นที่การศึกษาชุมพร เขต 2
เลียบ,ต.สะกอม อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
เกาะทาก,ต.นาหว้า อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
เขาจันทร์,ต.จะโหนง อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
เคลียง,ต.นาทวี อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
เก่า,ต.คลองกวาง อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
เทพา,ต.เทพา อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
เกาะแลหนัง,ต.ปากบาง อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
เขาน้อย,ต.สะกอม อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
เมาะลาแต,ต.ทุ่งพอ อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
เก่า,ต.เปียน อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
เขารักเกียรติ,ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
เนินนิมิต,ต.ท่าชะมวง อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
เขาพระ,ต.เขาพระ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
เกาะค่าง,ต.สำนักแต้ว อ.สะเดา จ.สงขลา 90120,เขตพื้นที่การศึกษาสงขลา เขต 3
เกาะนก,ต.คูเต่า อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
เกาะหมี,ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
เกาะนํ้ารอบ,ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
เกาะใหญ่,ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
เขาแดง,ต.หัวเขา อ.สิงหนคร จ.สงขลา 90280,เขตพื้นที่การศึกษาสงขลา เขต 1
เก่าร้าง,ต.คลองหอยโข่ง อ.คลองหอยโข่ง จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
เขาจีน,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เนินสูง,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะยาว,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เกตรี,อ.เมืองสตูล จ.สตูล 91140,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะยะระโตดนุ้ย,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะสาหร่าย,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะอาดัง,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เจ๊ะบิลัง,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
เขาใคร,อ.ควนกาหลง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
เหนือคลอง,อ.ควนกาหลง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะบูโหลน,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะยวน,อ.ละงู จ.สตูล 91110,เขตพื้นที่การศึกษาสตูล เขต 1
เกาะปราง,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
เขาหลัก,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
เกาะเคี่ยม,ต.กันตังใต้ อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
เกาะมุกด์,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
เกาะลิบง,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
เขาไม้แก้ว,อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
เขาติง,อ.ปะเหลียน จ.ตรัง 92180,เขตพื้นที่การศึกษาตรัง เขต 1
เขาไม้แก้ว,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
เหนือคลอง,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
เขาพรุเสม็ด,อ.ห้วยยอด จ.ตรัง 92210,เขตพื้นที่การศึกษาตรัง เขต 2
เขากอบ,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
เขากอบ สาขาบ้านเขาหัวแหวน,อ.ห้วยยอด จ.ตรัง 92130,เขตพื้นที่การศึกษาตรัง เขต 2
