ท้องคุ้ง,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ทุ่งตากล้า(คุรุราษฎร์บำรุงวิทย์),ต.บ้านปิน อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ท่าเดื่อ,ต.ปากกาง อ.ลอง จ.แพร่,เขตพื้นที่การศึกษาแพร่ เขต 2
ทุ่งเจริญ(เครือราษฎร์สงเคราะห์),ต.หัวฝาย อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
ท่าวะ(ราษฎร์บำรุง),ต.สะเอียบ อ.สอง จ.แพร่ 54120,เขตพื้นที่การศึกษาแพร่ เขต 1
ทุ่งแค้ว (คันธวงศ์วิทยาคาร),ต.ทุ่งแค้ว อ.หนองม่วงไข่ จ.แพร่ 54170,เขตพื้นที่การศึกษาแพร่ เขต 1
ทรายทอง,ต.บ่อ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ทัพม่าน,ต.บัวใหญ่ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
ทุ่งกวาง,ต.แงง อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
ทุ่งเฮ้า,ต.อวน อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
ท่าค้ำ,ต.ริม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
ท่าวังผา(ประชารัฐวิทยาคาร),ต.ท่าวังผา อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
ท่าลี่,ต.ขึ่ง อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ท่าเลอ,ต.แม่สาคร อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ท่าล้อ,ต.ฝายแก้ว อ.ภูเพียง จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ทุ่งน้อย,ต.ฝายแก้ว อ.ภูเพียง จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ทุ่งหล่ม,ต.ฝายกวาง อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งมอก,ต.เชียงบาน อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งเย็น,ต.แม่ลาว อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ท่าม่าน,ต.เชียงม่วน อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งมอก,ต.บ้านมาง อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ท่าฟ้าใต้,ต.สระ อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ท่าฟ้าเหนือ,ต.สระ อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งหนอง,ต.สระ อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งหลวง,ต.ดอนศรีชุม อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
ทุ่งต้นศรี,ต.ห้วยลาน อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
ทุ่งกาไชย,ต.คือเวียง อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
ทุ่งแต,ต.งิม อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งป่าข่า,ต.ศรีถ้อย อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
ทุ่งติ้ว,ต.ภูซาง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งติ้ว สาขานาหนุน,ต.ภูซาง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งติ้วสาขาผาลาดทุ่งติ้ว,ต.ภูซาง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งกล้วย,ต.ทุ่งกล้วย อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ทุ่งหลวง,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
ทรายงาม,ต.ดอยลาน อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ท่าสาย,ต.ท่าสาย อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ทุ่งยั้งหัวฝายวิทยา,ต.ผางาม อ.เวียงชัย จ.เชียงราย 57210,เขตพื้นที่การศึกษาเชียงราย เขต 1
ทุ่งนาน้อย,ต.เวียง อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งงิ้ว(ประชาสงเคราะห์2),ต.สถาน อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งอ่าง,ต.สถาน อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งซางดงหลวง,ต.ศรีดอนชัย อ.เชียงของ จ.เชียงราย,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งโห้ง,ต.เวียง อ.เทิง จ.เชียงราย 57160,เขตพื้นที่การศึกษาเชียงราย เขต 4
ท่าข้าม,ต.หงาว อ.เทิง จ.เชียงราย 57160,เขตพื้นที่การศึกษาเชียงราย เขต 4
ท่าดอกแก้ว,ต.ดอยงาม อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
ท่าฮ่อ,ต.ทรายขาว อ.พาน จ.เชียงราย 57250,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งสามเหลี่ยม,ต.เวียงห้าว อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทับกุมารทอง,ต.ท่าข้าวเปลือก อ.แม่จัน จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ท่าข้าวเปลือก,ต.ท่าข้าวเปลือก อ.แม่จัน จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ทุ่งฟ้าฮ่าม,ต.โยนก อ.เชียงแสน จ.เชียงราย 57150,เขตพื้นที่การศึกษาเชียงราย เขต 3
ทุ่งเกลี้ยง,ต.ศรีเมืองชุม อ.แม่สาย จ.เชียงราย 57130,เขตพื้นที่การศึกษาเชียงราย เขต 3
ทุ่งฟ้าผ่า,ต.แม่พริก อ.แม่สรวย จ.เชียงราย 57180,เขตพื้นที่การศึกษาเชียงราย เขต 2
ท่าก๊อพลับพลา,ต.ท่าก๊อ อ.แม่สรวย จ.เชียงราย 57180,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งพร้าว(เพ็กกี้ฮิทค็อค),ต.วาวี อ.แม่สรวย จ.เชียงราย 57180,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งขจี,ต.ป่างิ้ว อ.เวียงป่าเป้า จ.เชียงราย 57170,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งม่าน,ต.เวียงกาหลง อ.เวียงป่าเป้า จ.เชียงราย 57260,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งยาว,ต.แม่เจดีย์ อ.เวียงป่าเป้า จ.เชียงราย 57170,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งเจ้า,ต.แม่เปา อ.พญาเม็งราย จ.เชียงราย 57290,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทรายทอง,ต.ปอ อ.เวียงแก่น จ.เชียงราย 57310,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งคำ,ต.หล่ายงาว อ.เวียงแก่น จ.เชียงราย 57310,เขตพื้นที่การศึกษาเชียงราย เขต 4
ท่าข้าม,ต.ท่าข้าม อ.เวียงแก่น จ.เชียงราย 57310,เขตพื้นที่การศึกษาเชียงราย เขต 4
ทุ่งน้ำแพร่ป่าบง,ต.ยางฮอม อ.ขุนตาล จ.เชียงราย 57340,เขตพื้นที่การศึกษาเชียงราย เขต 4
ท่ามะโอ,ต.จอมหมอกแก้ว อ.แม่ลาว จ.เชียงราย 57250,เขตพื้นที่การศึกษาเชียงราย เขต 2
ทุ่งก่อ(ใจประชานุเคราะห์),ต.ทุ่งก่อ อ.เวียงเชียงรุ้ง จ.เชียงราย 57210,เขตพื้นที่การศึกษาเชียงราย เขต 1
ทุ่งกวาง,ต.โชคชัย อ.ดอยหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ท่าโป่งแดง,ต.ผาบ่อง อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ทุ่งกองมู,ต.ปางหมู อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ท่าหินส้ม,ต.เมืองปอน อ.ขุนยวม จ.แม่ฮ่องสอน 58140,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ทุ่งโป่งมิตรภาพที่ 78,ต.ทุ่งยาว อ.ปาย จ.แม่ฮ่องสอน 58130,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ทุ่งยาว,ต.ทุ่งยาว อ.ปาย จ.แม่ฮ่องสอน 58130,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ท่าตาฝั่ง,ต.แม่ยวม อ.แม่สะเรียง จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ทุ่งแพม,ต.แม่ยวม อ.แม่สะเรียง จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ท่าสองแคว,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ท่าสองแคว ส.บ้านทุ่งรวงทอง,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ท่าผาปุ้ม,ต.ท่าผาปุ้ม อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ทิยาเพอ,ต.สบเมย อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ทีฮือลือ,ต.สบเมย อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ทะโลงเหนือ,ต.กองก๋อย อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ทุ่งหลวงวัฒนาคาร,ต.นาปู่ป้อม อ.ปางมะผ้า จ.แม่ฮ่องสอน 58150,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ท่ากร่าง,ต.ท่าไม้ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าเตียน,ต.ท่าไม้ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าจันทน์(สำลีประชานุเคราะห์),ต.พันลาน อ.ชุมแสง จ.นครสวรรค์ 60250,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าจันทน์(ศักดี),ต.โคกหม้อ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าเรือ,ต.หนองกลับ อ.หนองบัว จ.นครสวรรค์ 60110,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ทุ่งทอง,ต.ทุ่งทอง อ.หนองบัว จ.นครสวรรค์ 60110,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ทับลุ่มประชาพัฒนา,ต.วังบ่อ อ.หนองบัว จ.นครสวรรค์ 60110,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ทุ่งท่าเสา,ต.ด่านช้าง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ทุ่งตาทั่ง(ศิริราษฎร์บำรุง),ต.หนองเต่า อ.เก้าเลี้ยว จ.นครสวรรค์ 60230,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทำนบ,ต.ทำนบ อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ทรัพย์ไพรวัน,ต.เขากะลา อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทุ่งแม่น้ำน้อย,ต.ลาดยาว อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ทุ่งตัน,ต.บ้านไร่ อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ท่าตะโก,ต.ศาลเจ้าไก่ต่อ อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ทุ่งรวงทอง,ต.เขาชนกัน อ.แม่วงก์ จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ท่ามะกรูด,ต.แม่เปิน อ.แม่เปิน จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ท่าทอง (สามัคคีประชาสฤษฎิ์),ต.น้ำซึม อ.เมืองอุทัยธานี จ.อุทัยธานี 61000,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่าซุง,ต.ท่าซุง อ.เมืองอุทัยธานี จ.อุทัยธานี 61000,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่าดาน,ต.หนองหญ้าปล้อง อ.ทัพทัน จ.อุทัยธานี 61120,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งมน,ต.ไผ่เขียว อ.สว่างอารมณ์ จ.อุทัยธานี 61150,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งใหญ่,ต.หนองยาง อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งนาวิทยา,ต.เขาบางแกรก อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่าชะอม,ต.เขากวางทอง อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งสบาย,ต.เขากวางทอง อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งน้อย,ต.คอกควาย อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งหมัน,ต.วังหิน อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งนาสวน,ต.หนองบ่มกล้วย อ.บ้านไร่ จ.อุทัยธานี 61180,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทัพยายปอน,ต.ประดู่ยืน อ.ลานสัก จ.อุทัยธานี 61160,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งสามแท่ง,ต.ประดู่ยืน อ.ลานสัก จ.อุทัยธานี 61160,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่ามะนาว,ต.ระบำ อ.ลานสัก จ.อุทัยธานี 61160,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่าเสากระโดง,ต.อ่างทอง อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งตาพุก,ต.อ่างทอง อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งเศรษฐี,ต.นครชุม อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งสวน,ต.นครชุม อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทรงธรรม,ต.ทรงธรรม อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ท่าเสลี่ยง,ต.คณฑี อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ท่าตะคร้อ,ต.เทพนคร อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งมหาชัย,ต.มหาชัย อ.ไทรงาม จ.กำแพงเพชร 62150,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งมหาศาล,ต.มหาชัย อ.ไทรงาม จ.กำแพงเพชร 62150,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ท่าช้าง,ต.คลองน้ำไหล อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ทะเลพัฒนา,ต.คลองลานพัฒนา อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่าข้ามสามัคคี,ต.คลองลานพัฒนา อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่ามะเขือ,ต.สักงาม อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่าพุทรา,ต.ท่าพุทรา อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ทุ่งหันตรา,ต.วังแขม อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ทรัพย์มะนาว,ต.วังไทร อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ทุ่งน้ำตก,ต.หนองหัววัว อ.พรานกระต่าย จ.กำแพงเพชร 62110,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ท่าไม้,ต.ท่าไม้ อ.พรานกระต่าย จ.กำแพงเพชร 62110,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งรวงทอง,ต.เขาคีริส อ.พรานกระต่าย จ.กำแพงเพชร 62110,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทรายทอง,ต.หนองหลวง อ.ลานกระบือ จ.กำแพงเพชร 62170,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ทุ่งทอง,ต.ทุ่งทอง อ.ทรายทองวัฒนา จ.กำแพงเพชร 62190,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่าขึ้น สาขาบ้านคลองพร้าว,ต.โพธิ์ทอง อ.ปางศิลาทอง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่าขึ้น,ต.โพธิ์ทอง อ.ปางศิลาทอง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ทุ่งซ่าน,ต.บึงสามัคคี อ.บึงสามัคคี จ.กำแพงเพชร 62210,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ท่านา,ต.เพชรชมภู อ.โกสัมพีนคร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ท่าไม้แดง,ต.วังหิน อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ท่าเล่,ต.หนองบัวใต้ อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ทรัพย์สมบูรณ์,ต.วังประจบ อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ทุ่งกระเชาะ,ต.ทุ่งกระเชาะ อ.บ้านตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ท้องฟ้า,ต.ท้องฟ้า อ.บ้านตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ท่าไผ่,ต.ยกกระบัตร อ.สามเงา จ.ตาก 63130,เขตพื้นที่การศึกษาตาก เขต 1
ท่าปุยตก,ต.ย่านรี อ.สามเงา จ.ตาก 63130,เขตพื้นที่การศึกษาตาก เขต 1
ทุ่งมะขามป้อม,ต.พระธาตุ อ.แม่ระมาด จ.ตาก 63140,เขตพื้นที่การศึกษาตาก เขต 2
ทุ่งถ้ำ,ต.แม่ต้าน อ.ท่าสองยาง จ.ตาก 63150,เขตพื้นที่การศึกษาตาก เขต 2
ท่าอาจ,ต.ท่าสายลวด อ.แม่สอด จ.ตาก 63110,เขตพื้นที่การศึกษาตาก เขต 2
ทีกะเป่อ,ต.ช่องแคบ อ.พบพระ จ.ตาก 63160,เขตพื้นที่การศึกษาตาก เขต 2
ท่าตะคร้อ,ต.ประดาง อ.วังเจ้า จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ทุ่งกง,ต.ประดาง อ.วังเจ้า จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ทุ่งพล้อ,ต.ป่างิ้ว อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าโพธิ์,ต.แม่สำ อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าชัย,ต.ท่าชัย อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ทับผึ้ง,ต.ทับผึ้ง อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่ามักกะสัง,ต.ราวต้นจันทร์ อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าทอง,ต.ท่าทอง อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ทุ่งมหาชัย,ต.คลองมะพลับ อ.ศรีนคร จ.สุโขทัย 64140,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าวิเศษ,ต.บ้านใหม่ไชยมงคล อ.ทุ่งเสลี่ยม จ.สุโขทัย 64230,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าชุม(ประชาอุทิศวิทยาคาร),ต.ทุ่งเสลี่ยม อ.ทุ่งเสลี่ยม จ.สุโขทัย 64150,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ทองหลาง(พุ่มประชานุกูล),ต.มะขามสูง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่าหินลาด,ต.เนินเพิ่ม อ.นครไทย จ.พิษณุโลก 65120,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ท่าสะแก,ต.ท่าสะแก อ.ชาติตระการ จ.พิษณุโลก 65170,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ท่าไม้งาม,ต.หนองกุลา อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่านางงาม,ต.ท่านางงาม อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ทุ่งน้อย,ต.ท่าตาล อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่ายาง,ต.เนินกุ่ม อ.บางกระทุ่ม จ.พิษณุโลก 65210,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่ากระดุน,ต.ท้อแท้ อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ท่าหนองปากพาน,ต.หินลาด อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ทุ่งเอี้ยงสามัคคี,ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก 65220,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่าข้าม,ต.วังนกแอ่น อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ทุ่งยาว,ต.วังโพรง อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่าฬ่อ(ครุฑวิทยากรณ์),ต.ท่าฬ่อ อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่ามะไฟ,ต.ป่ามะคาบ อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
ทุ่งโม่ง,ต.วังทรายพูน อ.วังทรายพูน จ.พิจิตร 66180,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่ากระดาน,ต.หนองปลาไหล อ.วังทรายพูน จ.พิจิตร 66180,เขตพื้นที่การศึกษาพิจิตร เขต 1
ทุ่งประพาส,ต.ทุ่งใหญ่ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
ทุ่งใหญ่,ต.ท่าขมิ้น อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
ท่าบัว(รัฐประชานุเคราะห์),อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
ท่าแห,ต.กำแพงดิน อ.สามง่าม จ.พิจิตร 66220,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่าพิกุล,ต.สากเหล็ก อ.สากเหล็ก จ.พิจิตร 66160,เขตพื้นที่การศึกษาพิจิตร เขต 1
ทุ่งสำราญ,ต.สากเหล็ก อ.สากเหล็ก จ.พิจิตร 66160,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่าเยี่ยม,ต.ท่าเยี่ยม อ.สากเหล็ก จ.พิจิตร 66160,เขตพื้นที่การศึกษาพิจิตร เขต 1
ทุ่งทอง,ต.โพธิ์ไทรงาม อ.บึงนาราง จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทุ่งพรหมทอง(ราษฎร์สามัคคี),ต.บางลาย อ.บึงนาราง จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทุ่งแค,ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ทุ่งหินปูน,ต.น้ำร้อน อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
