ใหม่(ศรีอินทร์พงษ์วิทยาคาร),ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ใดโพธิ์,ต.ไผ่รอบ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
ใหม่ราษฎร์ดำรง,ต.เขาเจ็ดลูก อ.ทับคล้อ จ.พิจิตร 66230,เขตพื้นที่การศึกษาพิจิตร เขต 2
ใหม่วิทยา,ต.ตาลเดี่ยว อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ใหม่วิไลวัลย์,ต.บ่อรัง อ.วิเชียรบุรี จ.เพชรบูรณ์ 67130,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ใหม่สาริกา,ต.สระกรวด อ.ศรีเทพ จ.เพชรบูรณ์ 67170,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ใหม่วังตะเคียน,ต.วังหิน อ.วังโป่ง จ.เพชรบูรณ์ 67240,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ใหม่(จีนาภักดิ์วิทยา),ต.บ้านใหม่ อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ใหม่พัฒนา,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี 71240,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
ใหม่กิโล 8,ต.หนองมะค่าโมง อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ใหม่ไร่อ้อย,ต.หนองโพธิ์ อ.หนองหญ้าไซ จ.สุพรรณบุรี 72240,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ใหม่,ต.ลำเหย อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
ในดง,ต.บ้านในดง อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ในล็อค,ต.ทองมงคล อ.บางสะพาน จ.ประจวบคีรีขันธ์ 77230,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
ใหม่,ต.สามร้อยยอด อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
ในเขียว 1,ต.ทอนหงส์ อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ในเขียว 2,ต.ทอนหงส์ อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ใสถิน,ต.ขอนหาด อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ในถุ้ง,ต.ท่าศาลา อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ในเพลา,ต.ขนอม อ.ขนอม จ.นครศรีธรรมราช 80210,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ในตูล,ต.นาเหรง อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ในช่องมิตรภาพที่ 123,ต.ทับปริก อ.เมืองกระบี่ จ.กระบี่ 81000,เขตพื้นที่การศึกษากระบี่ เขต 1
ในควน,ต.อ่าวลึกใต้ อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
ในยวน,ต.อ่าวลึกเหนือ อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
ในทับ,ต.ห้วยยูง อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 1
ในหยง,ต.หล่อยูง อ.ตะกั่วทุ่ง จ.พังงา 82140,เขตพื้นที่การศึกษาพังงา เขต 1
ในปิ,ต.บางไทร อ.ตะกั่วป่า จ.พังงา 82110,เขตพื้นที่การศึกษาพังงา เขต 1
ในวัง,ต.ถ้ำทองหลาง อ.ทับปุด จ.พังงา 82180,เขตพื้นที่การศึกษาพังงา เขต 1
ในไร่,ต.นาเตย อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
ใหญ่,ต.บางทอง อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
ในทอน (ศูนย์พัฒนาครูชายฝั่งทะเลอันดามัน),ต.สาคู อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
ใหม่สามัคคี,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ใหญ่,ต.พนม อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ในปราบราษฎร์ประสงค์,ต.บ้านเสด็จ อ.เคียนซา จ.สุราษฎร์ธานี 84260,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ในไร่,ต.บ้านส้อง อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ใต้,ต.คลองฉนวน อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ในห้วย,ต.ตากแดด อ.เมืองชุมพร จ.ชุมพร 86190,เขตพื้นที่การศึกษาชุมพร เขต 1
ใหม่พัฒนา,ต.คุริง อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
