สร้าง (สำริต ภู่เงิน อนุสรณ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
สำโรงหนองจอก,ต.นางาม อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
สะทอนโนนแพงประชาสรรค์,ต.ขวาว อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
สีเสียด,ต.ศรีวิลัย อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
สะอาดนาดี,ต.พรสวรรค์ อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
สนาม,ต.สระคู อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ส้มโฮง,ต.หินกอง อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สองชั้น,ต.หินกอง อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สระโพนทอง,ต.ทุ่งหลวง อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สาหร่าย,ต.ทุ่งกุลา อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สูงยาง,ต.คูเมือง อ.เมืองสรวง จ.ร้อยเอ็ด 45220,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สว่าง,ต.ศรีสว่าง อ.โพนทราย จ.ร้อยเอ็ด 45240,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สะแบงตาก,ต.ศรีสว่าง อ.โพนทราย จ.ร้อยเอ็ด 45240,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ส่องอนามัย,ต.อาจสามารถ อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สำราญ,ต.อาจสามารถ อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สำโรง,ต.บ้านดู่ อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
สวนจิก,ต.สวนจิก อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45280,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
สว่าง,ต.ภูดิน อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
สวนผึ้ง,ต.เหล่าไฮงาม อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
สุขเจริญ,ต.นาขาม อ.กุฉินารายณ์ จ.กาฬสินธุ์ 46110,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ส้มป่อย,ต.สระพังทอง อ.เขาวง จ.กาฬสินธุ์ 46160,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
สาวิทยาสรรพ์,ต.คลองขาม อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
สร้างแก้ว,ต.สมเด็จ อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
สี่แยกสมเด็จ,ต.สมเด็จ อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
สร้างแสน,ต.ลำห้วยหลัว อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
สีสุก,ต.โนนศิลาเลิง อ.ฆ้องชัย จ.กาฬสินธุ์,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
สายปลาหลาย (คุรุราษฎร์ผดุง),ต.หนองลาด อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
สนามบิน,ต.อุ่มจาน อ.กุสุมาลย์ จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
สมสะอาด(อ.พรรณานิคม),ต.พอกน้อย อ.พรรณานิคม จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 2
สูงเนินสามัคคี,ต.พอกน้อย อ.พรรณานิคม จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 2
สว่าง,ต.สว่าง อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
สร้างหินวิทยานุเคราะห์,ต.บะฮี อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
สร้างขุ่ย,ต.พังโคน อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
สมสะอาด(อ.พังโคน),ต.แร่ อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ส่งเปลือย,ต.ไฮหย่อง อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
สุวรรณคาม,ต.สุวรรณคาม อ.นิคมน้ำอูน จ.สกลนคร 47270,เขตพื้นที่การศึกษาสกลนคร เขต 2
สุวรรณคีรี,ต.วานรนิวาส อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ส้งเปือย,ต.ขัวก่าย อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
สันติสุขสระแก้ว,ต.นาแต้ อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
สามแยกพิทักษ์,ต.โนนสะอาด อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
สรศรี,ต.บ่อแก้ว อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
สร้างแก้ว,ต.บ่อแก้ว อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
สงเปือย,ต.นาฮี อ.อากาศอำนวย จ.สกลนคร -,เขตพื้นที่การศึกษาสกลนคร เขต 3
สร้างแป้น,ต.แวง อ.สว่างแดนดิน จ.สกลนคร 47240,เขตพื้นที่การศึกษาสกลนคร เขต 2
สีสุก,ต.ท่าศิลา อ.ส่องดาว จ.สกลนคร -,เขตพื้นที่การศึกษาสกลนคร เขต 2
สร้างฟาก,ต.เจริญศิลป์ อ.เจริญศิลป์ จ.สกลนคร -,เขตพื้นที่การศึกษาสกลนคร เขต 3
สร้างแก้วราษฎร์พัฒนา,ต.สร้างค้อ อ.ภูพาน จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 1
สะพานสาม,ต.สร้างค้อ อ.ภูพาน จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 1
สร้างหิน,ต.นาราชควาย อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
สุขเจริญ,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
สําราญ,ต.อาจสามารถ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
สุขเกษม,ต.โพธิ์ตาก อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
สว่างสำราญ,ต.โคกสูง อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
สร้างแห่,ต.กุดฉิม อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
สร้างเม็ก,ต.ท่าลาด อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
สร้างแป้น,ต.นางาม อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
สีชมพูมิตรภาพที่ 164,ต.สีชมพู อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
สามัคคี,ต.นางัว อ.นาหว้า จ.นครพนม 48180,เขตพื้นที่การศึกษานครพนม เขต 2
สามแยกหัวภูธร,ต.วังยาง อ.วังยาง จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
สงเปือย,ต.บ้านโคก อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ส้มป่อย,ต.นาสีนวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สามขามิตรภาพ 3,ต.คำป่าหลาย อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สามขัว,ต.ดงเย็น อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สงเปือยเหนือ,ต.ดงมอน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สานแว้,ต.กกตูม อ.ดงหลวง จ.มุกดาหาร 49140,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สองคอน,ต.ป่งขาม อ.หว้านใหญ่ จ.มุกดาหาร 49150,เขตพื้นที่การศึกษามุกดาหาร เขต 1
สบเตี๊ยะ,ต.สบเตี๊ยะ อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบแจ่มฝั่งซ้าย,ต.บ้านแปะ อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบแจ่มฝั่งซ้าย สาขาบ้านท่ากอม่วง,ต.บ้านแปะ อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบแปะ,ต.บ้านแปะ อ.จอมทอง จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สามสบ,ต.ท่าผา อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สองธาร,ต.บ้านทับ อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบแม่รวม,ต.แม่นาจร อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบวาก,ต.แม่นาจร อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบวาก สาขาแม่จอนหลวง,ต.แม่นาจร อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบคาบ,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สบคาบ สาขาแก่งปันเต๊า,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สบอ้อ,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันป่าเกี๊ยะ,ต.แม่นะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันต้นดู่,ต.สันปูเลย อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันต้นม่วงใต้,ต.สันปูเลย อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันทราย,ต.ลวงเหนือ อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันต้นม่วงเหนือ,ต.สำราญราษฎร์ อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันต้นแหน,ต.แม่คือ อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันป่าสัก,ต.ช่อแล อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันป่าตอง,ต.อินทขิล อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันคะยอม,ต.ขี้เหล็ก อ.แม่ริม จ.เชียงใหม่ 50180,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สะลวงนอก,ต.สะลวง อ.แม่ริม จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สะลวงใน,ต.สะลวง อ.แม่ริม จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันทรายคองน้อย,ต.เวียง อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันป่าแดง,ต.แม่สูน อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันต้นดู่,ต.สันทราย อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันทราย,ต.สันทราย อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันต้นเปา,ต.แม่ข่า อ.ฝาง จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันม่วง,ต.แม่ข่า อ.ฝาง จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันป่าข่า,ต.แม่สาว อ.แม่อาย จ.เชียงใหม่ 50280,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันต้นหมื้อ,ต.สันต้นหมื้อ อ.แม่อาย จ.เชียงใหม่ 50280,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันปอธง,ต.สันต้นหมื้อ อ.แม่อาย จ.เชียงใหม่ 50280,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สุขฤทัย,ต.ท่าตอน อ.แม่อาย จ.เชียงใหม่ 50280,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันป่าเหียว,ต.มะลิกา อ.แม่อาย จ.เชียงใหม่ 50280,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สันกลาง,ต.ป่าไหน่ อ.พร้าว จ.เชียงใหม่ 50190,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันยาว,ต.ป่าไหน่ อ.พร้าว จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันปง,ต.สันทราย อ.พร้าว จ.เชียงใหม่ 50190,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันกำแพง,ต.สันกำแพง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
สันคะยอม,ต.สันทรายน้อย อ.สันทราย จ.เชียงใหม่ 50210,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันพระเนตร,ต.สันพระเนตร อ.สันทราย จ.เชียงใหม่ 50210,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันศรี,ต.สันพระเนตร อ.สันทราย จ.เชียงใหม่ 50210,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สหกรณ์นิคม,ต.หนองหาร อ.สันทราย จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
สันทราย,ต.หนองแก๋ว อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
สันผักหวาน,ต.สันผักหวาน อ.หางดง จ.เชียงใหม่ 50000,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
สันป่าสัก,ต.หนองควาย อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
สันติสุข,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สบลาน,ต.ยางเปียง อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
สันทราย,ต.สันทราย อ.สารภี จ.เชียงใหม่ 50140,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
สินชัย,ต.หนองบัว อ.ไชยปราการ จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
สามหลัง,ต.สองแคว อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
สันมะนะ,ต.ต้นธง อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
สันป่าเหียง,ต.มะเขือแจ้ อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
สบเมย,ต.ทาขุมเงิน อ.แม่ทา จ.ลำพูน 51170,เขตพื้นที่การศึกษาลำพูน เขต 1
สวนหลวง,ต.ทาขุมเงิน อ.แม่ทา จ.ลำพูน 51170,เขตพื้นที่การศึกษาลำพูน เขต 1
สัน,ต.ทาขุมเงิน อ.แม่ทา จ.ลำพูน 51170,เขตพื้นที่การศึกษาลำพูน เขต 1
สันเจดีย์,ต.บ้านโฮ่ง อ.บ้านโฮ่ง จ.ลำพูน 51130,เขตพื้นที่การศึกษาลำพูน เขต 2
สันปูเลย,ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน 51130,เขตพื้นที่การศึกษาลำพูน เขต 2
สันป่าสัก,ต.แม่ตืน อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
สันวิไล,ต.แม่ตืน อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
สะปุ๋ง,ต.ม่วงน้อย อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
สำเภา,ต.ปงแสนทอง อ.เมืองลำปาง จ.ลำปาง 52100,เขตพื้นที่การศึกษาลำปาง เขต 1
สบค่อม,ต.บ้านค่า อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
สบเติ๋น,ต.สบป้าด อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
สบป้าด,ต.สบป้าด อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
สองแควใต้,ต.นาแก้ว อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
สองแควเหนือ,ต.นาแก้ว อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
สาด-ผึ้งนาเกลือ,ต.วังพร้าว อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
สบพลึง,ต.บ้านโป่ง อ.งาว จ.ลำปาง 52110,เขตพื้นที่การศึกษาลำปาง เขต 1
สบฟ้า,ต.แจ้ห่ม อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
สาแพะ,ต.บ้านสา อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
สวนดอกคำ,ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
สันมะเกลือ,ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
สะพานหิน,ต.แม่มอก อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
สะเลียมหวาน,ต.เวียงมอก อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
สันหลวง,ต.นาโป่ง อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
สบเติน (เรียนรวมแม่ถอดวิทยาทั้งโรง),ต.แม่ถอด อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
สองแคว,ต.เถินบุรี อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
สามขา,ต.หัวเสือ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
สันดอนแก้ว,ต.สันดอนแก้ว อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
สันป่าเปา,ต.สันดอนแก้ว อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
สมัย,ต.สมัย อ.สบปราบ จ.ลำปาง 52170,เขตพื้นที่การศึกษาลำปาง เขต 2
สัน,ต.ปงยางคก อ.ห้างฉัตร จ.ลำปาง 52190,เขตพื้นที่การศึกษาลำปาง เขต 1
สันทราย,ต.เวียงตาล อ.ห้างฉัตร จ.ลำปาง 52190,เขตพื้นที่การศึกษาลำปาง เขต 1
สบลี,ต.แจ้ซ้อน อ.เมืองปาน จ.ลำปาง 52240,เขตพื้นที่การศึกษาลำปาง เขต 3
สีเสียดบํารุง,ต.จริม อ.ท่าปลา จ.อุตรดิตถ์ 53150,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
สุมข้าม,ต.นาขุม อ.บ้านโคก จ.อุตรดิตถ์ 53180,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
สันป่าสัก,ต.แม่คำมี อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
สุพรรณ(คุรุราษฎร์วิทยา),ต.ป่าแมต อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
สวนเขื่อน(ราษฎร์บูรณวิทยา),ต.สวนเขื่อน อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
สบสาย(จันทร์พัฒน์ประชาสรรค์),ต.สบสาย อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
สวนหลวง,ต.ปงป่าหวาย อ.เด่นชัย จ.แพร่ 54110,เขตพื้นที่การศึกษาแพร่ เขต 2
สันปู่สี(ราษฎร์วิทยากุล),ต.หัวเมือง อ.สอง จ.แพร่ 54120,เขตพื้นที่การศึกษาแพร่ เขต 1
สองแคว,ต.ป่าสัก อ.วังชิ้น จ.แพร่ 54160,เขตพื้นที่การศึกษาแพร่ เขต 2
สบป้าก,ต.แม่เกิ๋ง อ.วังชิ้น จ.แพร่ 54160,เขตพื้นที่การศึกษาแพร่ เขต 2
สลก,ต.แม่เกิ๋ง อ.วังชิ้น จ.แพร่ 54160,เขตพื้นที่การศึกษาแพร่ เขต 2
สะเลียม(ปัญญาราษฎร์รังสรรค์),ต.ตำหนักธรรม อ.หนองม่วงไข่ จ.แพร่ 54170,เขตพื้นที่การศึกษาแพร่ เขต 1
สะละภูเวียง,ต.บ่อ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
สันติภาพ,ต.บ่อ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
สองแคว,ต.สะเนียน อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
สะเนียน,ต.สะเนียน อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
สถาน,ต.สถาน อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
สันทะ,ต.สันทะ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
ส้าน,ต.สันทะ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
ส้าน,ต.สถาน อ.ปัว จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สกาดใต้,ต.สกาด อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
สบขุ่น,ต.ป่าคา อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สบเป็ด,ต.ผาตอ อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สบสาย,ต.ตาลชุม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สบหนอง,ต.ตาลชุม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สันเจริญ,ต.ผาทอง อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สาลีก,ต.ส้าน อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
สาลี่,ต.น้ำมวบ อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
สะเลียม,ต.ยาบหัวนา อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ส้านนาหนองใหม่,ต.ส้านนาหนองใหม่ อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
สาคร,ต.แม่สาคร อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
สบกอน,ต.เชียงกลาง อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
ส้อเด่นพัฒนา,ต.เปือ อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
สร้อยพร้าว,ต.พระธาตุ อ.เชียงกลาง จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สบยาง,ต.ป่าแลวหลวง อ.สันติสุข จ.น่าน 55210,เขตพื้นที่การศึกษาน่าน เขต 1
สบมาง,ต.ภูฟ้า อ.บ่อเกลือ จ.น่าน 55220,เขตพื้นที่การศึกษาน่าน เขต 2
สว้า,ต.ดงพญา อ.บ่อเกลือ จ.น่าน 55220,เขตพื้นที่การศึกษาน่าน เขต 2
สะปัน,ต.ดงพญา อ.บ่อเกลือ จ.น่าน 55220,เขตพื้นที่การศึกษาน่าน เขต 2
สองแคว,ต.นาไร่หลวง อ.สองแคว จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
สะเกิน,ต.ยอด อ.สองแคว จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
สบปืน,ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน 55130,เขตพื้นที่การศึกษาน่าน เขต 2
สันป่าสัก,ต.แม่นาเรือ อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันกว๊านทุ่งกิ่ว,ต.บ้านตุ่น อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
