ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่พิทยาคม,ต.หนองน้ำใส อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ไผ่ศึกษา,ต.หัวหนอง อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 25
ไคร่นุ่น,ต.กุดขอนแก่น อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ไส้ไก่,ต.ท่าศาลา อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ไทยสมพร,ต.วังสามหมอ อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ไผ่ล้อมโนนสมบัติ,ต.อ้อมกอ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ไชยฟอง,ต.นาสะอาด อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ไชยวานโนนลือชัย,ต.บ้านแดง อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ไทย,ต.ดอนกลอย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ไพจาน,ต.ค้อใหญ่ อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ไผ่โทน,ต.กกดู่ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ไร่ทาม,ต.นาอาน อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ไฮตาก,ต.ลาดค่าง อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ไร่สุขสันต์,ต.เลยวังไสย์ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
ไร่สุขสันต์สาขาห้วยส้มป่อย,ต.เลยวังไสย์ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
ไร่ศรีอุบล,ต.หนองหิน อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
ไร่พวยมิตรภาพที่ 18,ต.ตาดข่า อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
ไร่สุขสันต์,ต.โคกก่อง อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ไคสี,ต.ไคสี อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ไทรงามโนนภูดิน,ต.โซ่ อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
ไทยสามัคคี,ต.หนองปลาปาก อ.ศรีเชียงใหม่ จ.หนองคาย 43130,เขตพื้นที่การศึกษาหนองคาย เขต 1
ไร่โนนสำราญ,ต.นาดง อ.ปากคาด จ.หนองคาย 43190,เขตพื้นที่การศึกษาหนองคาย เขต 2
ไร่,ต.โพนทอง อ.โพธิ์ตาก จ.หนองคาย 43130,เขตพื้นที่การศึกษาหนองคาย เขต 1
ไผ่น้ำเที่ยง,ต.มะค่า อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ไส้จ่อ,ต.กุดใส้จ่อ อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ไพรวัลย์ปอแดง,ต.หนองคูขาด อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ไก่นา,ต.เสือโก้ก อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ไพศาล (ลี้ลอยอุทิศ),ต.นาโพธิ์ อ.กุดรัง จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ไทรทอง,ต.กำแพง อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ไม้ล่าว(คุรุราษฎร์พัฒนา),ต.เมืองหงส์ อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ไก่ป่า,ต.หนองพอก อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ไผ่,ต.บึงนคร อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
