บวรนิเวศ,แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
บ้านไร่,ต.บ้านไร่ อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บุญลือ (อุเทสประชาสรรค์),ต.เนินแจง อ.เมืองอุทัยธานี จ.อุทัยธานี 61000,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
บ้านกรุ,ต.สามเรือน อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
บ้านเหมือง,ต.ศรีนคร อ.ศรีนคร จ.สุโขทัย 64180,เขตพื้นที่การศึกษาสุโขทัย เขต 2
บ้านคลอง,ต.น้ำขุม อ.ศรีนคร จ.สุโขทัย 64140,เขตพื้นที่การศึกษาสุโขทัย เขต 2
บางทราย( หลวงพิณพลราษฎร์ - จู เกษกาญจน์ ),ต.วังน้ำคู้ อ.เมืองพิษณุโลก จ.พิษณุโลก 65230,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บ้านใหม่,ต.วัดพริก อ.เมืองพิษณุโลก จ.พิษณุโลก 65230,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บ้านไร่,ต.ดอนทอง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บึงพระ(เหรียญ จั่น อนุสรณ์),ต.บึงพระ อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บ่อภาค,ต.บ่อภาค อ.ชาติตระการ จ.พิษณุโลก 65170,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
บึงกอก,ต.บึงกอก อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บึงบอน,ต.หนองกุลา อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บ้านดง,ต.คุยม่วง อ.บางระกำ จ.พิษณุโลก 65240,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
บางกระทุ่ม,ต.บางกระทุ่ม อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
บึงลำ,ต.นครป่าหมาก อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
บ้านน้อย,ต.หินลาด อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
บางสะพานประพันธ์ชนานุสรณ์,ต.วังทอง อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
บ้านมุง,ต.บ้านมุง อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
บ้านบุ่ง,ต.บ้านบุ่ง อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านวังไร่,ต.ดงป่าคำ อ.เมืองพิจิตร จ.พิจิตร 66170,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านประดาทอง,ต.ไผ่ท่าโพ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านไผ่ท่าโพใต้,ต.ไผ่ท่าโพ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านไผ่ท่าโพเหนือ,ต.ไผ่ท่าโพ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านลำนัง,ต.ไผ่ท่าโพ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
บึงน้ำกลัด,ต.วังสำโรง อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านตาล(ศิริรัฐราษฎร์วิทยาคาร),ต.โพทะเล อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านท้ายน้ำ,ต.ท้ายน้ำ อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านท่าขมิ้น,ต.ท่าขมิ้น อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านห้วยยาว,ต.ท่าขมิ้น อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านท่ามะไฟ,ต.ท่าเสา อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านพังน้อย,ต.ท่าเสา อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านหนองดง,ต.ท่าเสา อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านท่านั่ง,ต.ท่านั่ง อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านไร่,ต.สามง่าม อ.สามง่าม จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
บ้านใหม่,ต.รังนก อ.สามง่าม จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
บางเบน,ต.ท้ายทุ่ง อ.ทับคล้อ จ.พิจิตร,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านคลองข่อย,ต.บางลาย อ.บึงนาราง จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านบางลายใต้,ต.บางลาย อ.บึงนาราง จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านบางลายเหนือ,ต.บางลาย อ.บึงนาราง จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านบึงนาราง(แก้ววิทยาคาร),อ.บึงนาราง จ.พิจิตร 6613,เขตพื้นที่การศึกษาพิจิตร เขต 2
บ้านนา,ต.บ้านนา อ.วชิรบารมี จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
บางกระ,ต.หนองกลางนา อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
บางลี่(วุฒิพันธุ์วิทยา),ต.โคกหม้อ อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
บ้านโพธิ์,ต.คูบัว อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
บ้านกล้วย(เฟื้อราษฎร์บำรุง),ต.ท่าราบ อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
บัวงาม,ต.บัวงาม อ.ดำเนินสะดวก จ.ราชบุรี 70130,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านไร่,ต.บ้านไร่ อ.ดำเนินสะดวก จ.ราชบุรี 70130,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านโป่ง “สามัคคีคุณูปถัมภ์”,ต.บ้านโป่ง อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านฆ้องน้อย,ต.ท่าผา อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
บางพัง,ต.เบิกไพร อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
บึงกระจับ(รัฐประชาตันติธนานนท์),ต.หนองกบ อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
บัวงาม,ต.บ้านม่วง อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านใหม่,ต.วัดแก้ว อ.บางแพ จ.ราชบุรี 70160,เขตพื้นที่การศึกษาราชบุรี เขต 2
บางลาน,ต.ดอนทราย อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านหม้อ(ประชารังษี),ต.คลองตาคต อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ่อมะกรูด,ต.บ้านฆ้อง อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านฆ้อง(พิพิธกิตติโสภณ),ต.บ้านฆ้อง อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บางกะโด(สามัคคีวิทยาคาร),ต.บ้านสิงห์ อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บางโตนด,ต.บางโตนด อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
บ้านยาง,ต.ท่ามะขาม อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
บ้านเก่า,ต.บ้านเก่า อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
บ้านทวน,ต.พนมทวน อ.พนมทวน จ.กาญจนบุรี,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
บ้านน้อย,ต.ดอนเจดีย์ อ.พนมทวน จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
บ้านโพธิ์ตะวันตก,ต.บ้านโพธิ์ อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ้านโพธิ์ตะวันออก,ต.บ้านโพธิ์ อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ่อกรุ,ต.บ่อกรุ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
บ้านด่าน,ต.บางปลาม้า อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ้านหมี่,ต.บางปลาม้า อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บางใหญ่,ต.บางใหญ่ อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บางเลน,ต.กฤษณา อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บึงคา,ต.สาลี อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บางจิก,ต.วัดโบสถ์ อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ้านกร่าง,ต.บ้านกร่าง อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ้านกล้วย,ต.บ้านกร่าง อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บรรไดทอง,ต.วังยาง อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
บ้านกรวด,ต.หนองสาหร่าย อ.ดอนเจดีย์ จ.สุพรรณบุรี 72170,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
บางสาม,ต.บางตะเคียน อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
บางสะแก (วิทยารังสรรค์),ต.บ้านกุ่ม อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
บางบอน,ต.หัวโพธิ์ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
บางขวาก,ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
บ้านทึง,ต.สามชุก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
บ้านสระ,ต.บ้านสระ อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
บ่อคู่,ต.สระยายโสม อ.อู่ทอง จ.สุพรรณบุรี 72220,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
บัลลังก์,ต.หนองหญ้าไซ อ.หนองหญ้าไซ จ.สุพรรณบุรี 72240,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
บางแขม,ต.บางแขม อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
บ้านยาง,ต.บ้านยาง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
บ่อน้ำจืด,ต.ดอนข่อย อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
บ่อตะกั่ว,ต.บางระกำ อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
บางพระ,ต.บางแก้วฟ้า อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
บ้านหลวง,ต.บ้านหลวง อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
บางปลา,ต.บางปลา อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บางน้อยใน,ต.บางหลวง อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บางหลวง,ต.บางหลวง อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บึงลาดสวาย,ต.บางภาษี อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บางไผ่นารถ,ต.บางไทรป่า อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บัวปากท่า,ต.นิลเพชร อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บอนใหญ่,ต.บัวปากท่า อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บัวหวั่น,ต.บัวปากท่า อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บางภาษี,ต.คลองนกกระทุง อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
บางช้างใต้,ต.บางช้าง อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
บางช้างเหนือ,ต.คลองใหม่ อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
บางขุด,ต.บ้านบ่อ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางนํ้าวน,ต.บางโทรัด อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางพลี,ต.บางโทรัด อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางปิ้ง(บริษัทเกลือไทยสงเคราะห์),ต.นาดี อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บ้านไร่(ประชานุกูล),ต.พันท้ายนรสิงห์ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางปลา,ต.บ้านเกาะ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางกระเจ้า,ต.บางกระเจ้า อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางหญ้าแพรก,ต.บางหญ้าแพรก อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางยาง(บางยางพิทยาคาร),ต.บางยาง อ.กระทุ่มแบน จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
บางขันแตก(บำเพ็ญอยู่รังสฤษดิ์),ต.บางขันแตก อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางประจันต์(หวังเจริญราษฎร์นุกูล),ต.ลาดใหญ่ อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางจะเกร็ง(ประโชตประชานุกูล),ต.บางจะเกร็ง อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางใหญ่(ประภัสสรประชานุกูล),ต.กระดังงา อ.บางคนที จ.สมุทรสงคราม 75120,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางสะแก(ล้อมประชานุกูล),ต.บางสะแก อ.บางคนที จ.สมุทรสงคราม 75120,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางคนทีใน(วามโกประชานุกูล),ต.บางคนที อ.บางคนที จ.สมุทรสงคราม 75120,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางพลับ(สุนทรานุกูล),ต.บางพรม อ.บางคนที จ.สมุทรสงคราม 75120,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางน้อย(แจ่มประชานุกูล),ต.จอมปลวก อ.บางคนที จ.สมุทรสงคราม 75120,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางกะพ้อม(คงลาภยิ่งประชานุส,ต.อัมพวา อ.อัมพวา จ.สมุทรสงคราม 75110,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางนางลี่ใหญ่(บริษัทเกลือไทยสงเคราะห์),ต.สวนหลวง อ.อัมพวา จ.สมุทรสงคราม 75110,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บางแคกลาง(ไพลประชานุกูล),ต.บางแค อ.อัมพวา จ.สมุทรสงคราม 75110,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
บันไดทอง (วิเศษศึกษา),ต.บ้านกุ่ม อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
บางทะลุ (สุนทรธรรมานุสรณ์),ต.หาดเจ้าสำราญ อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
บ่อบุญ (จารุราษฎร์บำรุง),ต.ไร่สะท้อน อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
บางขุนไทร (ผดุงวิทยา),ต.บางขุนไทร อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
บางลำภู,ต.บางครก อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
บ่อนอก(ทองวิทยา),ต.บ่อนอก อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77210,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
บ้านตาล,ต.กำแพงเซา อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80280,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
บางตะพาน,ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
บางใหญ่,ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
บางทองคำ,ต.บ้านเนิน อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ้านเนิน,ต.บ้านเนิน อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางยิ่ว,ต.การะเกด อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ่อล้อ,ต.แม่เจ้าอยู่หัว อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางด้วน,ต.ปากแพรก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางมะขาม,ต.คลองน้อย อ.ปากพนัง จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ้านงาม,ต.คลองกระบือ อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางคุระ,ต.บ้านใหม่ อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ้านใหม่บน,ต.บ้านใหม่ อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางทวด,ต.ปากพนังฝั่งตะวันตก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางไทร,ต.บางศาลา อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางศาลา,ต.บางศาลา อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางฉนาก,ต.ปากพนังฝั่งตะวันออก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางพระ,ต.ปากแพรก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางตะพาน,ต.เขาพังไกร อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บูรณาวาส,ต.เขาพังไกร อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ่อโพง,ต.บ้านราม อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ้านราม,ต.บ้านราม อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บ้านด่าน,ต.ท่าซอม อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
บางหว้า,ต.เชียรเขา อ.เฉลิมพระเกียรติ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
บางโทง,ต.นาเหนือ อ.อ่าวลึก จ.กระบี่ 81110,เขตพื้นที่การศึกษากระบี่ เขต 1
บ้านนา,ต.เขาต่อ อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
บางเหลียว,ต.คีรีวง อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
บางเสียด,ต.บางเตย อ.เมืองพังงา จ.พังงา 82000,เขตพื้นที่การศึกษาพังงา เขต 1
บุญบันเทิง,ต.คลองน้อย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
บางใบไม้,ต.บางใบไม้ อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
บางกล้วย,ต.บางไทร อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
บ้านใน,ต.ท่าอุแท อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
บุณฑริการาม,ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
บ่อมะปริง,ต.ท่าฉาง อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางปอ,ต.ท่าเคย อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางน้ำจืด,ต.เขาถ่าน อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางคราม,ต.ปากฉลุย อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บ้านส้อง,ต.บ้านส้อง อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางสวรรค์,ต.บางสวรรค์ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางกำยาน,ต.สินเจริญ อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางพา,ต.ไทรโสภา อ.พระแสง จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
บางพลา,ต.ลีเล็ด อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางมะเดื่อ,ต.บางมะเดื่อ อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางงอน,ต.บางงอน อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
บางลึก,ต.บางลึก อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
บางแหวน,ต.ปากคลอง อ.ปะทิว จ.ชุมพร 86120,เขตพื้นที่การศึกษาชุมพร เขต 1
บรรพตวารีเขต,ต.ด่านสวี อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
บ่อแดง,ต.บ่อแดง อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
บ้านไร่,ต.ป่าชิง อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
บ้านลุ่ม,ต.ทับช้าง อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
บ้านใหม่,ต.ระโนด อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
